SA2_Code,Suburb_Name,Population,High_Value_Professionals,Professional_Density_per_1000,Commercial_Density_Proxy,Median_Weekly_Income,Demand_Gap_Index,Opportunity_Score,Is_Established_Cluster,Is_Emerging_Cluster
207011150,Glen Iris - East,16829,11127,661.14,1097.8,1165,50.79,48.96,True,False
801051125,Duntroon,1974,2418,1224.3,0.0,962,50.4,63.83,False,False
207011149,Camberwell,21232,13022,613.29,2299.5,1051,49.96,49.71,True,False
126011496,Pennant Hills - Cheltenham,21737,12402,570.52,1447.7,1045,49.92,48.85,True,False
122011418,Balgowlah - Clontarf - Seaforth,20732,12954,624.8,2472.5,1282,49.55,50.39,True,False
208011169,Brighton (Vic.),22758,13829,607.63,3025.4,1265,49.13,50.84,True,False
206071517,Richmond (South) - Cremorne,17671,15911,900.35,5980.5,1509,49.08,58.73,True,False
213021344,Newport,18753,11052,589.31,869.7,1240,48.89,48.64,True,False
203031053,Torquay,24607,11667,474.11,97.6,1001,48.85,47.07,True,False
209031209,Eltham,23444,11990,511.41,876.9,984,48.69,47.55,True,False
121021406,Normanhurst - Thornleigh - Westleigh,19158,10824,564.96,577.4,1003,48.34,46.92,True,False
115011558,Cherrybrook,19082,10513,550.91,123.0,940,48.34,46.27,True,False
401021004,Aldgate - Stirling,18208,10252,563.02,66.7,993,48.22,46.39,True,False
505021089,Karrinyup - Gwelup - Carine,22602,11330,501.26,330.0,977,48.21,46.5,True,False
121031409,Pymble,17221,11087,643.77,1719.1,1188,48.13,48.07,True,False
115011291,Baulkham Hills (West) - Bella Vista,21683,11785,543.49,1241.1,1013,48.12,47.43,True,False
314011386,The Hills District,24313,11352,466.89,37.1,1023,47.91,47.2,True,False
207011148,Balwyn North,21123,11028,522.06,426.6,852,47.84,45.75,True,False
504011045,Bayswater - Embleton - Bedford,24523,11647,474.92,448.5,964,47.81,46.87,True,False
208021174,Bentleigh - McKinnon,24896,13803,554.4,3173.2,970,47.0,49.14,True,False
121031408,Lindfield - Roseville,24599,15629,635.33,4835.8,1200,46.94,52.68,True,False
304041103,The Gap,17099,9694,566.9,79.1,1036,46.79,45.83,True,False
208041195,Malvern East,21923,13230,603.45,3332.3,1057,46.59,48.99,True,False
120021675,Leichhardt,17532,12423,708.55,3681.4,1377,46.58,51.2,True,False
206021499,Northcote - East,15068,10801,716.77,2698.5,1130,46.54,48.78,True,False
213031352,Yarraville,15463,9915,641.17,1254.3,1247,46.53,47.62,True,False
118011345,Paddington - Moore Park,14793,12594,851.29,4878.3,1651,46.3,53.44,True,True
207011155,Surrey Hills (West) - Canterbury,15944,9899,620.82,1088.9,1088,46.3,45.87,True,False
207031161,Blackburn,22106,11465,518.61,1306.2,900,46.28,46.06,True,False
203021042,Highton,24034,10871,452.3,28.7,859,46.08,44.81,True,False
121031411,Turramurra,20251,11873,586.26,2518.5,1074,45.69,47.23,True,False
121031412,Wahroonga (East) - Warrawee,18191,10927,600.65,2012.5,1108,45.45,46.39,True,False
503011035,Nedlands - Dalkeith - Crawley,18936,11142,588.37,2075.5,920,45.39,45.62,True,False
401031011,Burnside - Wattle Park,19066,10498,550.58,1256.2,957,45.02,45.24,True,False
120021387,Balmain,15579,11815,758.34,4161.4,1592,44.96,50.85,True,False
208011170,Brighton East,16540,9358,565.75,411.0,1064,44.91,44.52,True,False
121031410,St Ives,21665,12139,560.28,2720.2,1070,44.88,46.86,True,False
128021536,Oyster Bay - Como - Jannali,22063,10945,496.06,1076.4,1063,44.87,45.71,True,False
505021088,Innaloo - Doubleview,18468,9856,533.65,513.1,1126,44.86,45.03,True,False
116021628,Kellyville Ridge - The Ponds,21058,10477,497.51,683.2,1147,44.8,45.61,True,False
208021178,Caulfield - South,18075,10703,592.11,1984.2,1044,44.72,45.82,True,False
115011290,Baulkham Hills - East,24726,12187,492.86,2179.8,974,44.62,46.2,True,False
503021038,Mount Hawthorn - Leederville,11872,8184,689.3,951.7,1280,44.54,45.46,True,False
208011172,Hampton,18200,10636,584.36,1985.9,1033,44.31,45.52,True,False
206021112,Thornbury,18919,12118,640.49,3620.8,1041,44.22,48.43,True,False
206071143,Fitzroy North,12781,10213,799.01,3753.5,1241,44.09,48.81,True,False
116021632,Schofields - East,25130,12348,491.35,2509.1,1166,43.95,46.89,True,False
401071024,Unley - Parkside,20998,11840,563.84,2895.5,968,43.74,46.38,True,False
120021389,Lilyfield - Rozelle,13824,10184,736.64,3352.6,1542,43.59,48.66,True,False
121011685,Greenwich - Riverview,12928,9260,716.22,2532.7,1489,43.45,46.67,True,False
121011683,Castle Cove - Northbridge,13440,8398,624.8,792.8,1355,43.36,44.4,True,False
206021500,Northcote - West,10299,7772,754.56,1768.4,1216,43.32,45.58,True,False
206071145,Clifton Hill - Alphington,9855,7723,783.58,2080.0,1340,43.22,45.84,True,False
303011047,Camp Hill,12145,7738,637.08,395.2,1298,43.08,44.42,True,False
122031696,Frenchs Forest - Oxford Falls,17175,9006,524.34,205.1,1041,43.06,43.51,True,False
115041625,Rouse Hill - Beaumont Hills,17581,9225,524.68,492.1,1059,42.91,43.85,True,False
305041134,Bardon,10343,7167,692.87,629.6,1334,42.87,44.23,True,False
117031640,Newtown (NSW),14667,11842,807.34,5132.4,1310,42.78,50.99,True,False
115011621,Kellyville - East,17709,9025,509.6,135.1,995,42.77,43.15,True,False
208031193,Mordialloc - Parkdale,21199,10704,504.91,1746.2,977,42.65,44.5,True,False
211031267,Ringwood East,21132,9660,457.11,223.2,879,42.42,42.99,True,False
206071140,Carlton North - Princes Hill,8186,6529,797.48,1516.9,1197,42.32,44.48,True,False
305041132,Ashgrove,13716,8792,640.96,1757.8,1153,42.24,44.49,True,False
505021092,Scarborough,17552,10069,573.63,2231.6,1232,41.89,44.97,True,False
403031069,Mitcham (SA),16506,9399,569.39,1639.8,986,41.78,43.57,True,False
206011496,Brunswick - South,12983,10300,793.28,4501.0,1154,41.6,47.97,True,False
121021403,Asquith - Mount Colah,22057,11311,512.78,2701.5,1012,41.6,44.95,True,False
206011495,Brunswick - North,12890,9215,714.84,3168.8,1032,41.38,45.46,True,False
208011173,Sandringham - Black Rock,17358,9960,573.77,2321.4,1082,41.38,44.07,True,False
507041181,Melville,17452,8769,502.44,356.0,995,41.26,42.24,True,False
